1;H ;Hydrogen;Vodik;1.008;2.200;7
2;He;Helium;Helium;4.003;0.000;31
3;Li;Lithium;Lithium;6.941;0.980;9
4;Be;Beryllium;Beryllium;9.012;1.570;13
5;B ;Boron;Bor;10.811;2.040;21
6;C ;Carbon;Uhlik;12.011;2.550;5
7;N ;Nitrogen;Dusik;14.007;3.040;7
8;O ;Oxygen;Kyslik;15.999;3.440;7
9;F ;Fluorine;Fluor;18.998;3.980;43
10;Ne;Neon;Neon;20.180;0.000;31
11;Na;Sodium;Sodik;22.990;0.930;9
12;Mg;Magnesium;Horcik;24.305;1.310;13
13;Al;Aluminum;Hlinik;26.982;1.610;25
14;Si;Silicon;Kremik;28.085;1.900;21
15;P ;Phosphorus;Fosfor;30.974;2.190;5
16;S ;Sulfur;Sira;32.060;2.580;5
17;Cl;Chlorine;Chlor;35.450;3.160;43
18;Ar;Argon;Argon;39.948;0.000;31
19;K ;Potassium;Draslik;39.098;0.820;9
20;Ca;Calcium;Vapnik;40.078;1.000;13
21;Sc;Scandium;Skandium;44.956;1.360;17
22;Ti;Titanium;Titan;47.867;1.540;17
23;V ;Vanadium;Vanad;50.942;1.630;17
24;Cr;Chromium;Chrom;51.996;1.660;17
25;Mn;Manganese;Mangan;54.938;1.550;17
26;Fe;Iron;Zelezo;55.845;1.830;17
27;Co;Cobalt;Kobalt;58.933;1.880;17
28;Ni;Nickel;Nikl;58.693;1.910;17
29;Cu;Copper;Med;63.546;1.900;17
30;Zn;Zinc;Zinek;65.380;1.650;17
31;Ga;Gallium;Gallium;69.723;1.810;26
32;Ge;Germanium;Germanium;72.630;2.010;21
33;As;Arsenic;Arsen;74.922;2.180;21
34;Se;Selenium;Selen;78.971;2.550;5
35;Br;Bromine;Brom;79.904;2.960;42
36;Kr;Krypton;Krypton;83.798;0.000;31
37;Rb;Rubidium;Rubidium;85.468;0.820;9
38;Sr;Strontium;Stroncium;87.620;0.950;13
39;Y ;Yttrium;Yttrium;88.906;1.220;17
40;Zr;Zirconium;Zirkonium;91.224;1.330;17
41;Nb;Niobium;Niob;92.906;1.600;17
42;Mo;Molybdenum;Molybden;95.950;2.160;17
43;Tc;Technetium;Technecium;98.000;1.900;17
44;Ru;Ruthenium;Rutenium;101.070;2.200;17
45;Rh;Rhodium;Rhodium;102.910;2.280;17
46;Pd;Palladium;Palladium;106.420;2.200;17
47;Ag;Silver;Stribro;107.870;1.930;17
48;Cd;Cadmium;Kadmium;112.410;1.690;17
49;In;Indium;Indium;114.820;1.780;25
50;Sn;Tin;Cin;118.710;1.960;25
51;Sb;Antimony;Antimon;121.760;2.050;21
52;Te;Tellurium;Tellur;127.600;2.100;21
53;I ;Iodine;Jod;126.900;2.660;41
54;Xe;Xenon;Xenon;131.290;2.600;31
55;Cs;Cesium;Cesium;132.910;0.790;10
56;Ba;Barium;Baryum;137.330;0.890;13
57;La;Lanthanum;Lantan;138.910;1.100;33
58;Ce;Cerium;Cer;140.120;1.120;33
59;Pr;Praseodymium;Praseodym;140.910;1.130;33
60;Nd;Neodymium;Neodym;144.240;1.140;33
