1;H ;Hydrogenium;Vodik;1.008;2.200;7;H. Cavendish;1766;-252.87;-259.16
2;He;Helium;Helium;4.003;0.000;31;P. Janssen;1868;-268.93;-272.20
3;Li;Lithium;Lithium;6.941;0.980;9;J.A. Arfvedson;1817;1342;180.54
4;Be;Beryllium;Beryllium;9.012;1.570;13;N.L. Vauquelin;1798;2471;1287
5;B ;Borum;Bor;10.811;2.040;21;J. Gay-Lussac;1808;4000;2075
6;C ;Carbonium;Uhlik;12.011;2.550;5;Egypt, Sumer;3750 pr. n. l.;4827;3550
7;N ;Nitrogenium;Dusik;14.007;3.040;7;D. Rutherford;1772;-195.8;-210.1
8;O ;Oxygenium;Kyslik;15.999;3.440;7;J. Priestley;1774;-182.96;-218.79
9;F ;Fluorum;Fluor;18.998;3.980;43;H. Moissan;1886;-188.11;-219.67
10;Ne;Neonum;Neon;20.180;0.000;31;W. Ramsay;1898;-246.08;-248.59
11;Na;Natrium;Sodik;22.990;0.930;9;H. Davy;1807;883;97.72
12;Mg;Magnesium;Horcik;24.305;1.310;13;J. Black;1755;1091;650
13;Al;Aluminium;Hlinik;26.982;1.610;25;H. Davy;1825;2519;660.32
14;Si;Silicium;Kremik;28.085;1.900;21;J. Berzelius;1823;2900;1414
15;P ;Phosphorus;Fosfor;30.974;2.190;5;H. Brand;1669;280;44.15
16;S ;Sulphur;Sira;32.060;2.580;5;A. Lavoisier;2000 pr. n. l.;444.6;115.21
17;Cl;Chlorum;Chlor;35.450;3.160;43;C. Scheele;1774;-34.04;-101.5
18;Ar;Argon;Argon;39.948;0.000;31;L. Rayleigh;1894;-185.85;-189.35
19;K ;Kalium;Draslik;39.098;0.820;9;H. Davy;1807;759;63.38
20;Ca;Calcium;Vapnik;40.078;1.000;13;H. Davy;1808;1484;842
21;Sc;Scandium;Skandium;44.956;1.360;17;L.F. Nilson;1879;2836;1541
22;Ti;Titanium;Titan;47.867;1.540;17;W. Gregor;1791;3287;1668
23;V ;Vanadium;Vanad;50.942;1.630;17;A.M. del Rio;1801;3407;1910
24;Cr;Chromium;Chrom;51.996;1.660;17;L.N. Vauquelin;1797;2671;1907
25;Mn;Manganum;Mangan;54.938;1.550;17;J.G. Gahn;1774;2061;1246
26;Fe;Ferrum;Zelezo;55.845;1.830;17;Chetite;5000 pr. n. l.;2862;1538
27;Co;Cobaltum;Kobalt;58.933;1.880;17;G. Brandt;1735;2927;1495
28;Ni;Niccolum;Nikl;58.693;1.910;17;A.F. Cronstedt;1751;2730;1455
29;Cu;Cuprum;Med;63.546;1.900;17;Mezopotamie;9000 pr. n. l.;2562;1084.62
